STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DE,Germany,2023,,-8.4,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DE,Germany,2024,,-1.5,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2010,,2.8,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2011,,-1.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2012,,-2.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2013,,3.9,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2014,,3.8,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2015,,7.0,,b,break in time series,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2016,,4.6,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2017,,5.0,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2018,,4.4,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2019,,2.2,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2020,,4.3,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2021,,11.5,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2022,,4.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2023,,-3.8,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,DK,Denmark,2024,,3.5,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2010,,5.7,,,,,
dataflow,ESTAT:PRC_HPI_A(1.0),House price index (2015 = 100) - annual data,A,Annual,TOTAL,Total,RCH_A_AVG,Annual average rate of change,EE,Estonia,2011,,8.5,,,,,
