STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2018,,90.26,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2019,,91.70,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2020,,94.14,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2021,,95.32,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2022,,100.16,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2023,,107.65,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2024,,115.22,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CY,Cyprus,2025,,123.93,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2016,,113.10,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2017,,126.00,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2018,,136.30,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2019,,148.90,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2020,,161.20,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2021,,193.50,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2022,,225.50,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2023,,221.70,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2024,,232.80,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",CZ,Czechia,2025,,255.30,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2016,,128.30,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2017,,136.50,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2018,,145.60,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2019,,154.70,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2020,,167.10,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2021,,187.60,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2022,,199.00,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2023,,180.30,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2024,,176.70,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DE,Germany,2025,,182.50,,p,provisional,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2016,,114.40,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2017,,120.10,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2018,,125.42,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2019,,128.22,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2020,,133.79,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2021,,149.35,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2022,,156.32,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2023,,150.27,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2024,,155.57,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",DK,Denmark,2025,,167.29,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,,103.24,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,,107.96,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,,113.21,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,,118.16,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,,124.39,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,,134.68,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,,144.27,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,,141.21,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,,143.33,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,,150.94,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2016,,103.40,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2017,,108.12,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2018,,113.38,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2019,,118.33,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2020,,124.58,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2021,,134.88,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2022,,144.49,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2023,,141.33,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2024,,143.33,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA19,Euro area - 19 countries  (2015-2022),2025,,150.84,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA20,Euro area – 20 countries (2023-2025),2016,,103.33,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA20,Euro area – 20 countries (2023-2025),2017,,108.05,,,,,
dataflow,ESTAT:PRC_HPI_A$DEFAULTVIEW(1.0),House price index (2015 = 100) - annual data,A,Annual,DW_EXST,Purchases of existing dwellings,I10_A_AVG,"Annual average index, 2010=100",EA20,Euro area – 20 countries (2023-2025),2018,,113.32,,,,,
